"","DBN","School Name","Grade","Year","Demographic Category","Demographic Variable","# Total Days","# Days Absent","# Days Present","% Attendance","# Contributing 20+ Total Days","# Chronically Absent","% Chronically Absent","district_75"
"1","07X043","P.S. 043 Jonas Bronck","All Grades","2013-14","All Students","All Students",95053,"8274","86779","91.3","561","191","34.0",1
"2","07X043","P.S. 043 Jonas Bronck","All Grades","2014-15","All Students","All Students",96117,"8396","87721","91.3","574","190","33.1",1
"3","07X043","P.S. 043 Jonas Bronck","All Grades","2015-16","All Students","All Students",87562,"7167","80395","91.8","532","170","32.0",1
"4","07X043","P.S. 043 Jonas Bronck","All Grades","2016-17","All Students","All Students",82791,"6779","76012","91.8","495","158","31.9",1
"5","07X043","P.S. 043 Jonas Bronck","All Grades","2017-18","All Students","All Students",84752,"8225","76527","90.3","509","183","36.0",1
"6","07X043","P.S. 043 Jonas Bronck","All Grades","2018-19","All Students","All Students",80609,"8048","72561","90.0","483","190","39.3",1
"7","07X043","P.S. 043 Jonas Bronck","PK in K-12 Schools","2013-14","All Students","All Students",12359,"1287","11072","89.6","73","26","35.6",1
"8","07X043","P.S. 043 Jonas Bronck","PK in K-12 Schools","2014-15","All Students","All Students",12251,"1099","11152","91.0","77","26","33.8",1
"9","07X043","P.S. 043 Jonas Bronck","PK in K-12 Schools","2015-16","All Students","All Students",7471,"946","6525","87.3","48","22","45.8",1
"10","07X043","P.S. 043 Jonas Bronck","PK in K-12 Schools","2016-17","All Students","All Students",6166,"593","5573","90.4","37","14","37.8",1
"11","07X043","P.S. 043 Jonas Bronck","PK in K-12 Schools","2017-18","All Students","All Students",12860,"1899","10961","85.2","79","43","54.4",1
"12","07X043","P.S. 043 Jonas Bronck","PK in K-12 Schools","2018-19","All Students","All Students",16716,"2384","14332","85.7","106","61","57.5",1
"13","07X043","P.S. 043 Jonas Bronck","0K","2013-14","All Students","All Students",13868,"1240","12628","91.1","81","28","34.6",1
"14","07X043","P.S. 043 Jonas Bronck","0K","2014-15","All Students","All Students",13413,"1577","11836","88.2","81","36","44.4",1
"15","07X043","P.S. 043 Jonas Bronck","0K","2015-16","All Students","All Students",13511,"1372","12139","89.8","82","35","42.7",1
"16","07X043","P.S. 043 Jonas Bronck","0K","2016-17","All Students","All Students",9214,"896","8318","90.3","58","23","39.7",1
"17","07X043","P.S. 043 Jonas Bronck","0K","2017-18","All Students","All Students",9315,"s","s","s","s","s","s",1
"18","07X043","P.S. 043 Jonas Bronck","0K","2018-19","All Students","All Students",7262,"751","6511","89.7","43","16","37.2",1
"19","07X043","P.S. 043 Jonas Bronck","1","2013-14","All Students","All Students",16564,"1440","15124","91.3","100","36","36.0",1
"20","07X043","P.S. 043 Jonas Bronck","1","2014-15","All Students","All Students",17481,"1561","15920","91.1","104","34","32.7",1
"21","07X043","P.S. 043 Jonas Bronck","1","2015-16","All Students","All Students",14026,"1208","12818","91.4","87","28","32.2",1
"22","07X043","P.S. 043 Jonas Bronck","1","2016-17","All Students","All Students",13435,"1122","12313","91.6","81","30","37.0",1
"23","07X043","P.S. 043 Jonas Bronck","1","2017-18","All Students","All Students",10213,"865","9348","91.5","61","21","34.4",1
"24","07X043","P.S. 043 Jonas Bronck","1","2018-19","All Students","All Students",9344,"793","8551","91.5","57","20","35.1",1
"25","07X043","P.S. 043 Jonas Bronck","2","2013-14","All Students","All Students",13843,"1215","12628","91.2","84","32","38.1",1
"26","07X043","P.S. 043 Jonas Bronck","2","2014-15","All Students","All Students",14149,"907","13242","93.6","83","20","24.1",1
"27","07X043","P.S. 043 Jonas Bronck","2","2015-16","All Students","All Students",15057,"1166","13891","92.3","91","29","31.9",1
"28","07X043","P.S. 043 Jonas Bronck","2","2016-17","All Students","All Students",12647,"1168","11479","90.8","77","28","36.4",1
"29","07X043","P.S. 043 Jonas Bronck","2","2017-18","All Students","All Students",12334,"1144","11190","90.7","73","24","32.9",1
"30","07X043","P.S. 043 Jonas Bronck","2","2018-19","All Students","All Students",10351,"924","9427","91.1","62","19","30.6",1
"31","07X043","P.S. 043 Jonas Bronck","3","2013-14","All Students","All Students",11441,"933","10508","91.8","67","20","29.9",1
"32","07X043","P.S. 043 Jonas Bronck","3","2014-15","All Students","All Students",14829,"1150","13679","92.2","89","26","29.2",1
"33","07X043","P.S. 043 Jonas Bronck","3","2015-16","All Students","All Students",13193,"771","12422","94.2","79","16","20.3",1
"34","07X043","P.S. 043 Jonas Bronck","3","2016-17","All Students","All Students",15480,"1253","14227","91.9","89","26","29.2",1
"35","07X043","P.S. 043 Jonas Bronck","3","2017-18","All Students","All Students",12582,"1179","11403","90.6","73","24","32.9",1
"36","07X043","P.S. 043 Jonas Bronck","3","2018-19","All Students","All Students",9982,"973","9009","90.3","60","24","40.0",1
"37","07X043","P.S. 043 Jonas Bronck","4","2013-14","All Students","All Students",11783,"1035","10748","91.2","71","28","39.4",1
"38","07X043","P.S. 043 Jonas Bronck","4","2014-15","All Students","All Students",12046,"962","11084","92.0","71","21","29.6",1
"39","07X043","P.S. 043 Jonas Bronck","4","2015-16","All Students","All Students",13366,"975","12391","92.7","81","24","29.6",1
"40","07X043","P.S. 043 Jonas Bronck","4","2016-17","All Students","All Students",13127,"711","12416","94.6","77","13","16.9",1
"41","07X043","P.S. 043 Jonas Bronck","4","2017-18","All Students","All Students",14766,"1373","13393","90.7","88","32","36.4",1
"42","07X043","P.S. 043 Jonas Bronck","4","2018-19","All Students","All Students",13010,"997","12013","92.3","75","24","32.0",1
"43","07X043","P.S. 043 Jonas Bronck","5","2013-14","All Students","All Students",15195,"1124","14071","92.6","85","21","24.7",1
"44","07X043","P.S. 043 Jonas Bronck","5","2014-15","All Students","All Students",11841,"s","s","s","s","s","s",1
