"","X","DBN","Percent_Attendance","Demographic.Variable","X..Poverty","borough","self_contained_option","gifted_talented_option","X..Male","X..Black","X..Female","X..White","Total.Enrollment","Economic.Need.Index","Percent_Chronically_Absent","X..Students.with.Disabilities","treatment_indicator","new_outcome_labelled","ps","iptw","stable.iptw"
"1",3,"01M015",92.6,"SWD",0.847,"Manhattan",0,1,0.479,0.274,0.521,0.032,190,0.89,25,0.258,1,"no SC",0.245612303802353,4.07145727033574,1.54458124888346
"2",17,"01M019",92.5,"SWD",0.77,"Manhattan",1,0,0.556,0.191,0.444,0.062,257,0.679,25,0.35,0,"SC",0.0989441902487671,1.10980916961857,0.860307846406528
"3",24,"01M020",91,"SWD",0.736,"Manhattan",1,0,0.509,0.103,0.491,0.032,497,0.8,50,0.237,0,"SC",0.306698004629213,1.44237288609733,1.11810637839661
"4",35,"01M034",86.7,"SWD",0.979,"Manhattan",0,0,0.55,0.318,0.45,0.027,333,0.937,52.9,0.372,1,"no SC",0.0532251552278983,18.7881086624965,7.12761019340969
"5",41,"01M063",93.8,"SWD",0.818,"Manhattan",0,0,0.507,0.182,0.493,0.118,203,0.762,22.2,0.33,1,"no SC",0.139746487862605,7.15581489949984,2.71468832419722
"6",48,"01M064",91.5,"SWD",0.922,"Manhattan",0,0,0.588,0.208,0.412,0.053,245,0.882,26.7,0.298,1,"no SC",0.0649502792773091,15.3963926118076,5.84090111958482
"7",60,"01M110",91.3,"SWD",0.625,"Manhattan",1,1,0.562,0.098,0.438,0.261,379,0.58,25,0.127,0,"SC",0.30759576980908,1.44424305398057,1.11955610520379
"8",69,"01M134",86.4,"SWD",0.919,"Manhattan",1,0,0.559,0.215,0.441,0.037,297,0.901,62.5,0.418,0,"SC",0.0529250729489631,1.05588266718639,0.818504809955126
"9",73,"01M140",88.6,"SWD",0.884,"Manhattan",1,0,0.509,0.124,0.491,0.027,371,0.913,70,0.329,0,"SC",0.142868460137893,1.16668207094663,0.904394888215038
"10",81,"01M142",94.1,"SWD",0.976,"Manhattan",1,0,0.553,0.126,0.447,0.003,340,0.911,16,0.374,0,"SC",0.0545387865906343,1.05768484821706,0.819901834347946
"11",87,"01M184",97.5,"SWD",0.68,"Manhattan",0,0,0.501,0.037,0.499,0.073,684,0.653,9.1,0.165,1,"no SC",0.397058238418609,2.51852222984409,0.95544714160602
"12",98,"01M188",89.8,"SWD",0.921,"Manhattan",1,0,0.573,0.293,0.427,0.028,433,0.954,30,0.312,0,"SC",0.0782161972545385,1.08485308270939,0.840962252613188
"13",109,"01M315",96.1,"SWD",0.27,"Manhattan",0,0,0.494,0.053,0.506,0.575,318,0.369,11.1,0.176,1,"no SC",0.690962939164776,1.44725562446053,0.549042701778991
"14",116,"01M361",94.8,"SWD",0.457,"Manhattan",0,0,0.537,0.092,0.463,0.352,315,0.505,12.5,0.232,1,"no SC",0.403874726102177,2.47601529724593,0.939321364843721
"15",134,"02M001",89.1,"SWD",0.808,"Manhattan",1,0,0.503,0.176,0.497,0.019,318,0.843,38.5,0.283,0,"SC",0.217053587470341,1.27722661985135,0.990087406716113
"16",147,"02M002",94.7,"SWD",0.966,"Manhattan",1,0,0.527,0.053,0.473,0.009,552,0.91,22.2,0.228,0,"SC",0.130786447931751,1.15046526555016,0.891823857709834
"17",158,"02M003",95.5,"SWD",0.219,"Manhattan",1,0,0.51,0.057,0.49,0.667,753,0.202,11.8,0.208,0,"SC",0.596709687090043,2.47960332293742,1.9221522520236
"18",168,"02M006",90.9,"SWD",0.12,"Manhattan",0,0,0.51,0.024,0.49,0.745,694,0.124,24,0.17,1,"no SC",0.707668657924551,1.41309070113801,0.536081617717522
"19",181,"02M011",92.2,"SWD",0.3,"Manhattan",0,1,0.498,0.062,0.502,0.473,923,0.344,18.2,0.148,1,"no SC",0.682278762603092,1.46567657504787,0.556031023889387
"20",187,"02M033",88.9,"SWD",0.482,"Manhattan",0,1,0.474,0.18,0.526,0.229,650,0.499,52.4,0.155,1,"no SC",0.60610810581648,1.64987069204909,0.625908406945226
"21",200,"02M040",97.9,"SWD",0.1,"Manhattan",0,0,0.486,0.015,0.514,0.617,673,0.164,0,0.174,1,"no SC",0.79655472158218,1.25540653128478,0.47626126450503
"22",209,"02M041",97.9,"SWD",0.094,"Manhattan",0,0,0.458,0.013,0.542,0.69,694,0.078,0,0.156,1,"no SC",0.817985021586557,1.22251627304912,0.463783747790836
"23",219,"02M042",99.1,"SWD",0.763,"Manhattan",0,0,0.53,0.014,0.47,0.025,653,0.824,0,0.172,1,"no SC",0.317464881273962,3.14995471621011,1.19499252145877
"24",228,"02M051",92.2,"SWD",0.594,"Manhattan",0,0,0.488,0.159,0.512,0.179,453,0.602,33.3,0.227,1,"no SC",0.411511715658802,2.43006447191684,0.921889084836476
"25",237,"02M059",96.8,"SWD",0.094,"Manhattan",0,0,0.49,0.013,0.51,0.614,614,0.087,0,0.166,1,"no SC",0.777490793111623,1.28618886404798,0.487939101413535
"26",247,"02M077",98.7,"SWD",0.056,"Manhattan",0,1,0.514,0.003,0.486,0.506,358,0.097,0,0.101,1,"no SC",0.837071429440921,1.19464117974723,0.453208824964389
"27",258,"02M089",96.2,"SWD",0.201,"Manhattan",0,0,0.51,0.016,0.49,0.589,433,0.074,0,0.159,1,"no SC",0.630770628541455,1.58536234052673,0.601435992391407
"28",275,"02M111",90.8,"SWD",0.623,"Manhattan",1,1,0.552,0.149,0.448,0.17,395,0.629,30.4,0.215,0,"SC",0.276759441231683,1.38266581965896,1.07182233322108
"29",282,"02M116",91.6,"SWD",0.364,"Manhattan",0,0,0.494,0.117,0.506,0.404,539,0.353,25,0.178,1,"no SC",0.593405655067493,1.68518784993086,0.639306612110114
"30",292,"02M124",98.8,"SWD",0.564,"Manhattan",0,1,0.51,0,0.49,0.017,724,0.658,7.1,0.131,1,"no SC",0.582468354478271,1.71683146785841,0.651311193185747
"31",301,"02M126",94.4,"SWD",0.8,"Manhattan",0,0,0.54,0.093,0.46,0.079,784,0.78,22.2,0.194,1,"no SC",0.213161810769167,4.69127183894538,1.77971916066616
"32",305,"02M130",98,"SWD",0.484,"Manhattan",1,1,0.522,0.01,0.478,0.033,913,0.605,8,0.143,0,"SC",0.616504167723291,2.60759026783492,2.0213658609459
"33",322,"02M151",90.8,"SWD",0.433,"Manhattan",0,0,0.513,0.151,0.487,0.495,515,0.402,35.3,0.183,1,"no SC",0.458703419361217,2.180057871364,0.82704454105985
"34",336,"02M158",95.9,"SWD",0.122,"Manhattan",0,0,0.521,0.028,0.479,0.72,793,0.11,4.2,0.16,1,"no SC",0.692459560112726,1.44412765394879,0.547856049364708
"35",348,"02M183",97.1,"SWD",0.111,"Manhattan",0,0,0.514,0.024,0.486,0.68,588,0.059,7.1,0.163,1,"no SC",0.701062841297608,1.4264056530925,0.541132886526981
"36",357,"02M198",96.1,"SWD",0.39,"Manhattan",0,1,0.523,0.1,0.477,0.427,461,0.362,10,0.234,1,"no SC",0.435383103792616,2.29682776223747,0.871343319581102
"37",367,"02M212",96.6,"SWD",0.232,"Manhattan",0,0,0.495,0.063,0.505,0.467,366,0.26,0,0.115,1,"no SC",0.757320488554799,1.32044493066378,0.500934762338376
"38",375,"02M217",93,"SWD",0.343,"Manhattan",1,1,0.49,0.114,0.51,0.385,616,0.28,30.8,0.135,0,"SC",0.643647368484457,2.80620910738632,2.17533228219015
"39",390,"02M225",91.8,"SWD",0.341,"Manhattan",0,0,0.503,0.166,0.497,0.372,320,0.344,28.6,0.231,1,"no SC",0.542428612634992,1.84356056577147,0.69938817774619
"40",399,"02M234",97.3,"SWD",0.1,"Manhattan",0,0,0.505,0.014,0.495,0.721,642,0.089,5.9,0.168,1,"no SC",0.730593306341225,1.36875056385056,0.519260381467274
"41",413,"02M267",97.2,"SWD",0.111,"Manhattan",0,0,0.492,0.005,0.508,0.744,398,0.077,0,0.161,1,"no SC",0.740540137119395,1.35036569913667,0.512285749188253
"42",420,"02M276",96.6,"SWD",0.135,"Manhattan",0,0,0.522,0.041,0.478,0.541,827,0.149,5.9,0.192,1,"no SC",0.690209033190967,1.44883644216711,0.549642413681969
"43",430,"02M281",92.9,"SWD",0.276,"Manhattan",0,0,0.504,0.085,0.496,0.434,272,0.184,50,0.151,1,"no SC",0.630846460089538,1.58517177041473,0.601363696158866
"44",436,"02M290",95.9,"SWD",0.117,"Manhattan",0,0,0.474,0.022,0.526,0.719,631,0.106,0,0.155,1,"no SC",0.781140376119854,1.28017963297107,0.485659390483194
"45",452,"02M343",98.1,"SWD",0.098,"Manhattan",0,0,0.481,0.045,0.519,0.524,441,0.107,6.3,0.193,1,"no SC",0.783316850459533,1.27662260733106,0.48430996821481
"46",456,"02M397",93.7,"SWD",0.135,"Manhattan",0,0,0.51,0.033,0.49,0.551,539,0.137,14.3,0.174,1,"no SC",0.723157141218215,1.38282531278806,0.524599893059351
"47",474,"02M527",97.2,"SWD",0.171,"Manhattan",0,0,0.499,0.039,0.501,0.558,387,0.179,0,0.16,1,"no SC",0.731891972121553,1.36632185908704,0.518339008212506
"48",483,"03M009",93,"SWD",0.215,"Manhattan",0,0,0.507,0.048,0.493,0.601,619,0.196,29.4,0.184,1,"no SC",0.64342415996472,1.55418472327,0.589608197132328
"49",498,"03M075",94,"SWD",0.736,"Manhattan",1,0,0.541,0.214,0.459,0.143,560,0.688,22.9,0.4,0,"SC",0.101935588482716,1.11350587683404,0.863173479805857
"50",505,"03M076",88.2,"SWD",0.966,"Manhattan",1,0,0.477,0.752,0.523,0.028,472,0.919,53.3,0.248,0,"SC",0.139640878741312,1.16230533888805,0.901002109497128
"51",510,"03M084",91.6,"SWD",0.405,"Manhattan",1,0,0.447,0.081,0.553,0.476,656,0.44,35,0.146,0,"SC",0.700257714596119,3.3361992908427,2.58617292563399
"52",527,"03M087",93.8,"SWD",0.116,"Manhattan",0,0,0.496,0.04,0.504,0.645,877,0.12,14.3,0.201,1,"no SC",0.72200403460821,1.38503381153908,0.525437727164561
"53",533,"03M145",87.7,"SWD",0.821,"Manhattan",1,0,0.476,0.256,0.524,0.102,391,0.851,66.7,0.256,0,"SC",0.254902586850509,1.34210639085841,1.04038125686479
"54",539,"03M149",86.3,"SWD",0.991,"Manhattan",1,0,0.498,0.621,0.502,0.051,235,0.934,77.8,0.247,0,"SC",0.11226585794535,1.12646337752146,0.873217944941281
"55",551,"03M163",94,"SWD",0.487,"Manhattan",0,1,0.513,0.163,0.487,0.306,565,0.509,25,0.188,1,"no SC",0.469413007129239,2.13032017607616,0.808175643168179
"56",557,"03M165",89.6,"SWD",0.725,"Manhattan",1,1,0.513,0.149,0.487,0.182,604,0.711,35,0.22,0,"SC",0.264117963982521,1.35891345494979,1.05340984728259
"57",571,"03M166",96.8,"SWD",0.205,"Manhattan",0,1,0.515,0.052,0.485,0.571,648,0.187,0,0.114,1,"no SC",0.708776392328201,1.41088220604411,0.535243784999704
"58",586,"03M180",90.7,"SWD",0.727,"Manhattan",0,0,0.505,0.516,0.495,0.108,545,0.707,40,0.165,1,"no SC",0.306705360846815,3.2604581714483,1.2369140138299
"59",598,"03M199",93.8,"SWD",0.103,"Manhattan",1,0,0.504,0.039,0.496,0.639,848,0.095,22.2,0.185,0,"SC",0.727152596174263,3.66505228189264,2.84109495751065
"60",607,"03M241",92.1,"SWD",0.925,"Manhattan",1,0,0.552,0.537,0.448,0.09,134,0.901,33.3,0.336,0,"SC",0.0655080435584312,1.07010016844648,0.82952600911728
"61",614,"03M242",84,"SWD",0.894,"Manhattan",1,0,0.529,0.6,0.471,0.018,170,0.875,66.7,0.288,0,"SC",0.109525659551213,1.12299698551225,0.870530848523373
"62",623,"03M333",95.6,"SWD",0.185,"Manhattan",0,0,0.493,0.114,0.507,0.59,753,0.295,5.9,0.199,1,"no SC",0.726808254293132,1.37587870541256,0.521964571408372
"63",643,"03M452",93.1,"SWD",0.244,"Manhattan",0,0,0.521,0.113,0.479,0.586,336,0.254,36.4,0.196,1,"no SC",0.588480783154844,1.69929083264028,0.644656834696266
"64",652,"04M007",87.7,"SWD",0.919,"Manhattan",0,0,0.513,0.275,0.487,0.025,357,0.942,61.5,0.266,1,"no SC",0.15027860800645,6.65430704519889,2.52443221281301
"65",673,"04M037",93.3,"SWD",0.87,"Manhattan",0,0,0.547,0.38,0.453,0.052,192,0.876,37.5,0.26,1,"no SC",0.125652042702276,7.95848581920338,3.0191961132464
"66",680,"04M038",85.5,"SWD",0.92,"Manhattan",1,0,0.451,0.3,0.549,0.023,213,0.93,53.3,0.333,0,"SC",0.179533624981288,1.21881899179256,0.944810667178767
"67",691,"04M057",89,"SWD",0.895,"Manhattan",1,0,0.507,0.26,0.493,0.017,818,0.935,56.5,0.275,0,"SC",0.168748032945969,1.20300467202985,0.932551637653793
"68",702,"04M072",91.6,"SWD",0.913,"Manhattan",1,0,0.518,0.139,0.482,0.027,620,0.915,33.3,0.248,0,"SC",0.159248253293763,1.18941174242889,0.922014597312549
"69",711,"04M083",92.3,"SWD",0.897,"Manhattan",1,0,0.513,0.18,0.487,0.046,439,0.838,20,0.226,0,"SC",0.165610018501176,1.19848035351969,0.929044452075874
"70",720,"04M096",91,"SWD",0.952,"Manhattan",1,0,0.549,0.254,0.451,0.03,397,0.973,44.4,0.325,0,"SC",0.0813228507127181,1.08852168661843,0.843806100740145
"71",733,"04M102",89,"SWD",0.818,"Manhattan",1,0,0.531,0.286,0.469,0.044,318,0.844,50,0.308,0,"SC",0.147139066378517,1.17252410161845,0.908923544999912
"72",739,"04M108",91.2,"SWD",0.896,"Manhattan",1,0,0.549,0.319,0.451,0.018,452,0.928,35.7,0.327,0,"SC",0.0959894878586287,1.1061818270578,0.857495983473639
"73",744,"04M146",90.7,"SWD",0.979,"Manhattan",1,0,0.515,0.249,0.485,0.021,334,0.944,34.8,0.377,0,"SC",0.0727775044605829,1.0784897959343,0.83602952571616
"74",754,"04M155",91.9,"SWD",0.981,"Manhattan",1,0,0.508,0.088,0.492,0.004,260,0.962,25,0.331,0,"SC",0.102031530987956,1.11362484820899,0.863265704676738
"75",760,"04M171",87.3,"SWD",0.697,"Manhattan",0,0,0.481,0.266,0.519,0.043,725,0.779,62.5,0.225,1,"no SC",0.395747063902945,2.52686650442274,0.958612693690683
"76",769,"04M182",95.6,"SWD",0.971,"Manhattan",0,0,0.487,0.071,0.513,0.003,310,0.932,0,0.252,1,"no SC",0.163396880769636,6.12006786965441,2.32175888034871
