"","DBN","Percent_Attendance","Demographic.Variable","X..Poverty","borough","self_contained_option","gifted_talented_option","X..Male","X..Black","X..Female","X..White","Total.Enrollment","Economic.Need.Index","Percent_Chronically_Absent","X..Students.with.Disabilities"
"1","01M015",93.6,"All Students",0.847,"Manhattan",0,1,0.479,0.274,0.521,0.032,190,0.89,"21.9",0.258
"2","01M015",93.5,"Poverty",0.847,"Manhattan",0,1,0.479,0.274,0.521,0.032,190,0.89,"23.1",0.258
"3","01M015",92.6,"SWD",0.847,"Manhattan",0,1,0.479,0.274,0.521,0.032,190,0.89,"25.0",0.258
"4","01M015",92.8,"Black",0.847,"Manhattan",0,1,0.479,0.274,0.521,0.032,190,0.89,"25.0",0.258
"5","01M015",93.2,"Male",0.847,"Manhattan",0,1,0.479,0.274,0.521,0.032,190,0.89,"22.2",0.258
"6","01M015",93.9,"Not SWD",0.847,"Manhattan",0,1,0.479,0.274,0.521,0.032,190,0.89,"20.8",0.258
"7","01M015",94,"Female",0.847,"Manhattan",0,1,0.479,0.274,0.521,0.032,190,0.89,"21.4",0.258
"8","01M015",93.7,"Not Poverty",0.847,"Manhattan",0,1,0.479,0.274,0.521,0.032,190,0.89,"16.7",0.258
"9","01M015",93.8,"Hispanic",0.847,"Manhattan",0,1,0.479,0.274,0.521,0.032,190,0.89,"22.7",0.258
"10","01M019",92.3,"Not SWD",0.77,"Manhattan",1,0,0.556,0.191,0.444,0.062,257,0.679,"22.2",0.35
"11","01M019",93,"Female",0.77,"Manhattan",1,0,0.556,0.191,0.444,0.062,257,0.679,"31.3",0.35
"12","01M019",92.5,"Black",0.77,"Manhattan",1,0,0.556,0.191,0.444,0.062,257,0.679,"16.7",0.35
"13","01M019",91.1,"Poverty",0.77,"Manhattan",1,0,0.556,0.191,0.444,0.062,257,0.679,"30.3",0.35
"14","01M019",90.8,"Hispanic",0.77,"Manhattan",1,0,0.556,0.191,0.444,0.062,257,0.679,"34.8",0.35
"15","01M019",96.9,"Not Poverty",0.77,"Manhattan",1,0,0.556,0.191,0.444,0.062,257,0.679,"0.0",0.35
"16","01M019",92,"Male",0.77,"Manhattan",1,0,0.556,0.191,0.444,0.062,257,0.679,"18.5",0.35
"17","01M019",92.5,"SWD",0.77,"Manhattan",1,0,0.556,0.191,0.444,0.062,257,0.679,"25.0",0.35
"18","01M019",92.4,"All Students",0.77,"Manhattan",1,0,0.556,0.191,0.444,0.062,257,0.679,"23.3",0.35
"19","01M020",94.5,"All Students",0.736,"Manhattan",1,0,0.509,0.103,0.491,0.032,497,0.8,"24.4",0.237
"20","01M020",94.1,"Not ELL",0.736,"Manhattan",1,0,0.509,0.103,0.491,0.032,497,0.8,"26.8",0.237
"21","01M020",93.9,"Female",0.736,"Manhattan",1,0,0.509,0.103,0.491,0.032,497,0.8,"24.4",0.237
"22","01M020",91.8,"Hispanic",0.736,"Manhattan",1,0,0.509,0.103,0.491,0.032,497,0.8,"39.0",0.237
"23","01M020",94.3,"Poverty",0.736,"Manhattan",1,0,0.509,0.103,0.491,0.032,497,0.8,"27.3",0.237
"24","01M020",91,"SWD",0.736,"Manhattan",1,0,0.509,0.103,0.491,0.032,497,0.8,"50.0",0.237
"25","01M020",96.5,"ELL",0.736,"Manhattan",1,0,0.509,0.103,0.491,0.032,497,0.8,"13.3",0.237
"26","01M020",95.9,"Not SWD",0.736,"Manhattan",1,0,0.509,0.103,0.491,0.032,497,0.8,"14.5",0.237
"27","01M020",95.1,"Male",0.736,"Manhattan",1,0,0.509,0.103,0.491,0.032,497,0.8,"24.4",0.237
"28","01M020",98.9,"Asian",0.736,"Manhattan",1,0,0.509,0.103,0.491,0.032,497,0.8,"3.4",0.237
"29","01M020",95.3,"Not Poverty",0.736,"Manhattan",1,0,0.509,0.103,0.491,0.032,497,0.8,"15.0",0.237
"30","01M034",85.8,"Male",0.979,"Manhattan",0,0,0.55,0.318,0.45,0.027,333,0.937,"56.5",0.372
"31","01M034",96.4,"Female",0.979,"Manhattan",0,0,0.55,0.318,0.45,0.027,333,0.937,"0.0",0.372
"32","01M034",89.7,"All Students",0.979,"Manhattan",0,0,0.55,0.318,0.45,0.027,333,0.937,"35.1",0.372
"33","01M034",89.7,"Poverty",0.979,"Manhattan",0,0,0.55,0.318,0.45,0.027,333,0.937,"35.1",0.372
"34","01M034",92.3,"Not SWD",0.979,"Manhattan",0,0,0.55,0.318,0.45,0.027,333,0.937,"20.0",0.372
"35","01M034",86.7,"SWD",0.979,"Manhattan",0,0,0.55,0.318,0.45,0.027,333,0.937,"52.9",0.372
"36","01M034",89,"Hispanic",0.979,"Manhattan",0,0,0.55,0.318,0.45,0.027,333,0.937,"39.1",0.372
"37","01M063",95.1,"Not Poverty",0.818,"Manhattan",0,0,0.507,0.182,0.493,0.118,203,0.762,"0.0",0.33
