"","DBN","School Name.x","Year.x","Percent_Attendance","Demographic Category","Demographic Variable","Percent_Chronically_Absent","School Name.y","Year.y","Total Enrollment","Grade 3","% Female","% Male","% Black","% White","% Students with Disabilities","% Poverty","Economic Need Index","Gen Ed","ICT","SC 12:1","SC 12:1:1","SC 15:1","SC 6:1:1","SC 8:1:1"
"1","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","s","Ethnicity","White","s","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,20,NA,NA,NA,NA,NA
"2","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","s","Poverty","Poverty","s","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,20,NA,NA,NA,NA,NA
"3","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","91.1","All Students","All Students","33.3","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,20,NA,NA,NA,NA,NA
"4","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","s","ELL Status","ELL","s","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,20,NA,NA,NA,NA,NA
"5","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","90.5","Gender","Male","38.9","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,20,NA,NA,NA,NA,NA
"6","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","s","ELL Status","Not ELL","s","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,20,NA,NA,NA,NA,NA
"7","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","89.6","SWD Status","SWD","45.0","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,20,NA,NA,NA,NA,NA
"8","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","92.2","SWD Status","Not SWD","24.0","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,20,NA,NA,NA,NA,NA
"9","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","89.6","Ethnicity","Hispanic","37.0","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,20,NA,NA,NA,NA,NA
"10","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","s","Poverty","Not Poverty","s","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,20,NA,NA,NA,NA,NA
"11","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","91.8","Ethnicity","Black","41.7","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,20,NA,NA,NA,NA,NA
"12","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","91.5","Gender","Female","29.6","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,20,NA,NA,NA,NA,NA
