"","X","DBN","School.Name.x","Year.x","Percent_Attendance","Demographic.Category","Demographic.Variable","Percent_Chronically_Absent","School.Name.y","Year.y","Total.Enrollment","Grade.3","X..Female","X..Male","X..Black","X..White","X..Students.with.Disabilities","X..Poverty","Economic.Need.Index","Gen.Ed","ICT","SC.12.1","SC.12.1.1","SC.15.1","SC.6.1.1","SC.8.1.1","borough"
"1",1,"01M034","P.S. 034 Franklin D. Roosevelt","2017-18","91.9","Gender","Male","28.6","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,19,19,NA,NA,NA,NA,NA,"Manhattan"
"2",2,"01M034","P.S. 034 Franklin D. Roosevelt","2017-18","92.5","ELL Status","Not ELL","28.6","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,19,19,NA,NA,NA,NA,NA,"Manhattan"
"3",3,"01M034","P.S. 034 Franklin D. Roosevelt","2017-18","89.7","SWD Status","SWD","35.0","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,19,19,NA,NA,NA,NA,NA,"Manhattan"
"4",4,"01M034","P.S. 034 Franklin D. Roosevelt","2017-18","81.2","ELL Status","ELL","75.0","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,19,19,NA,NA,NA,NA,NA,"Manhattan"
"5",5,"01M034","P.S. 034 Franklin D. Roosevelt","2017-18","s","Ethnicity","Asian","s","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,19,19,NA,NA,NA,NA,NA,"Manhattan"
"6",6,"01M034","P.S. 034 Franklin D. Roosevelt","2017-18","91.2","All Students","All Students","34.4","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,19,19,NA,NA,NA,NA,NA,"Manhattan"
"7",7,"01M034","P.S. 034 Franklin D. Roosevelt","2017-18","90.5","Ethnicity","Hispanic","40.0","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,19,19,NA,NA,NA,NA,NA,"Manhattan"
"8",8,"01M034","P.S. 034 Franklin D. Roosevelt","2017-18","91.2","Poverty","Poverty","34.4","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,19,19,NA,NA,NA,NA,NA,"Manhattan"
"9",9,"01M034","P.S. 034 Franklin D. Roosevelt","2017-18","91.9","SWD Status","Not SWD","34.1","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,19,19,NA,NA,NA,NA,NA,"Manhattan"
"10",10,"01M034","P.S. 034 Franklin D. Roosevelt","2017-18","s","Ethnicity","White","s","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,19,19,NA,NA,NA,NA,NA,"Manhattan"
"11",11,"01M034","P.S. 034 Franklin D. Roosevelt","2017-18","90.2","Gender","Female","41.4","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,19,19,NA,NA,NA,NA,NA,"Manhattan"
"12",12,"01M034","P.S. 034 Franklin D. Roosevelt","2017-18","91.9","Ethnicity","Black","27.8","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,19,19,NA,NA,NA,NA,NA,"Manhattan"
"13",13,"01M140","P.S. 140 Nathan Straus","2017-18","s","Ethnicity","Other","s","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,24,28,NA,9.2,NA,NA,NA,"Manhattan"
"14",14,"01M140","P.S. 140 Nathan Straus","2017-18","90.3","Poverty","Poverty","30.4","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,24,28,NA,9.2,NA,NA,NA,"Manhattan"
"15",15,"01M140","P.S. 140 Nathan Straus","2017-18","89.5","Gender","Male","33.3","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,24,28,NA,9.2,NA,NA,NA,"Manhattan"
"16",16,"01M140","P.S. 140 Nathan Straus","2017-18","s","ELL Status","ELL","s","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,24,28,NA,9.2,NA,NA,NA,"Manhattan"
"17",17,"01M140","P.S. 140 Nathan Straus","2017-18","85.2","SWD Status","SWD","47.6","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,24,28,NA,9.2,NA,NA,NA,"Manhattan"
"18",18,"01M140","P.S. 140 Nathan Straus","2017-18","90.6","All Students","All Students","29.9","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,24,28,NA,9.2,NA,NA,NA,"Manhattan"
"19",19,"01M140","P.S. 140 Nathan Straus","2017-18","91.9","Ethnicity","Hispanic","30.6","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,24,28,NA,9.2,NA,NA,NA,"Manhattan"
"20",20,"01M140","P.S. 140 Nathan Straus","2017-18","s","ELL Status","Not ELL","s","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,24,28,NA,9.2,NA,NA,NA,"Manhattan"
"21",21,"01M140","P.S. 140 Nathan Straus","2017-18","93.0","SWD Status","Not SWD","21.7","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,24,28,NA,9.2,NA,NA,NA,"Manhattan"
"22",22,"01M140","P.S. 140 Nathan Straus","2017-18","92.2","Poverty","Not Poverty","27.3","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,24,28,NA,9.2,NA,NA,NA,"Manhattan"
"23",23,"01M140","P.S. 140 Nathan Straus","2017-18","80.3","Ethnicity","Black","45.5","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,24,28,NA,9.2,NA,NA,NA,"Manhattan"
"24",24,"01M140","P.S. 140 Nathan Straus","2017-18","s","Ethnicity","Asian","s","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,24,28,NA,9.2,NA,NA,NA,"Manhattan"
"25",25,"01M140","P.S. 140 Nathan Straus","2017-18","s","Ethnicity","White","s","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,24,28,NA,9.2,NA,NA,NA,"Manhattan"
"26",26,"01M140","P.S. 140 Nathan Straus","2017-18","91.7","Gender","Female","26.5","P.S. 140 Nathan Straus","2017-18",371,24,0.491,0.509,0.124,0.027,0.329,0.884,0.913,24,28,NA,9.2,NA,NA,NA,"Manhattan"
"27",27,"01M184","P.S. 184m Shuang Wen","2017-18","98.3","All Students","All Students","2.2","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,24,23,NA,NA,NA,NA,NA,"Manhattan"
"28",28,"01M184","P.S. 184m Shuang Wen","2017-18","98.1","Poverty","Poverty","3.2","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,24,23,NA,NA,NA,NA,NA,"Manhattan"
"29",29,"01M184","P.S. 184m Shuang Wen","2017-18","98.4","Gender","Female","0.0","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,24,23,NA,NA,NA,NA,NA,"Manhattan"
"30",30,"01M184","P.S. 184m Shuang Wen","2017-18","98.4","ELL Status","Not ELL","2.5","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,24,23,NA,NA,NA,NA,NA,"Manhattan"
"31",31,"01M184","P.S. 184m Shuang Wen","2017-18","s","Ethnicity","Other","s","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,24,23,NA,NA,NA,NA,NA,"Manhattan"
"32",32,"01M184","P.S. 184m Shuang Wen","2017-18","95.8","Ethnicity","Hispanic","11.1","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,24,23,NA,NA,NA,NA,NA,"Manhattan"
"33",33,"01M184","P.S. 184m Shuang Wen","2017-18","98.7","SWD Status","Not SWD","0.0","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,24,23,NA,NA,NA,NA,NA,"Manhattan"
"34",34,"01M184","P.S. 184m Shuang Wen","2017-18","s","Ethnicity","Black","s","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,24,23,NA,NA,NA,NA,NA,"Manhattan"
"35",35,"01M184","P.S. 184m Shuang Wen","2017-18","99.0","Ethnicity","Asian","0.0","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,24,23,NA,NA,NA,NA,NA,"Manhattan"
"36",36,"01M184","P.S. 184m Shuang Wen","2017-18","97.3","Ethnicity","White","0.0","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,24,23,NA,NA,NA,NA,NA,"Manhattan"
"37",37,"01M184","P.S. 184m Shuang Wen","2017-18","97.8","ELL Status","ELL","0.0","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,24,23,NA,NA,NA,NA,NA,"Manhattan"
"38",38,"01M184","P.S. 184m Shuang Wen","2017-18","97.0","SWD Status","SWD","10.5","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,24,23,NA,NA,NA,NA,NA,"Manhattan"
"39",39,"01M184","P.S. 184m Shuang Wen","2017-18","98.3","Gender","Male","4.4","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,24,23,NA,NA,NA,NA,NA,"Manhattan"
"40",40,"01M184","P.S. 184m Shuang Wen","2017-18","98.8","Poverty","Not Poverty","0.0","P.S. 184m Shuang Wen","2017-18",684,72,0.499,0.501,0.037,0.073,0.165,0.68,0.653,24,23,NA,NA,NA,NA,NA,"Manhattan"
"41",41,"01M188","P.S. 188 The Island School","2017-18","s","Ethnicity","White","s","P.S. 188 The Island School","2017-18",433,43,0.427,0.573,0.293,0.028,0.312,0.921,0.954,18,21,NA,18,NA,NA,NA,"Manhattan"
"42",42,"01M188","P.S. 188 The Island School","2017-18","87.5","SWD Status","SWD","52.9","P.S. 188 The Island School","2017-18",433,43,0.427,0.573,0.293,0.028,0.312,0.921,0.954,18,21,NA,18,NA,NA,NA,"Manhattan"
"43",43,"01M188","P.S. 188 The Island School","2017-18","s","Ethnicity","Black","s","P.S. 188 The Island School","2017-18",433,43,0.427,0.573,0.293,0.028,0.312,0.921,0.954,18,21,NA,18,NA,NA,NA,"Manhattan"
"44",44,"01M188","P.S. 188 The Island School","2017-18","91.5","All Students","All Students","31.7","P.S. 188 The Island School","2017-18",433,43,0.427,0.573,0.293,0.028,0.312,0.921,0.954,18,21,NA,18,NA,NA,NA,"Manhattan"
"45",45,"01M188","P.S. 188 The Island School","2017-18","92.1","Gender","Male","29.6","P.S. 188 The Island School","2017-18",433,43,0.427,0.573,0.293,0.028,0.312,0.921,0.954,18,21,NA,18,NA,NA,NA,"Manhattan"
"46",46,"01M188","P.S. 188 The Island School","2017-18","90.4","Poverty","Not Poverty","42.9","P.S. 188 The Island School","2017-18",433,43,0.427,0.573,0.293,0.028,0.312,0.921,0.954,18,21,NA,18,NA,NA,NA,"Manhattan"
"47",47,"01M188","P.S. 188 The Island School","2017-18","91.1","Gender","Female","33.3","P.S. 188 The Island School","2017-18",433,43,0.427,0.573,0.293,0.028,0.312,0.921,0.954,18,21,NA,18,NA,NA,NA,"Manhattan"
"48",48,"01M188","P.S. 188 The Island School","2017-18","91.4","ELL Status","Not ELL","34.6","P.S. 188 The Island School","2017-18",433,43,0.427,0.573,0.293,0.028,0.312,0.921,0.954,18,21,NA,18,NA,NA,NA,"Manhattan"
"49",49,"01M188","P.S. 188 The Island School","2017-18","93.1","SWD Status","Not SWD","23.9","P.S. 188 The Island School","2017-18",433,43,0.427,0.573,0.293,0.028,0.312,0.921,0.954,18,21,NA,18,NA,NA,NA,"Manhattan"
"50",50,"01M188","P.S. 188 The Island School","2017-18","92.2","ELL Status","ELL","18.2","P.S. 188 The Island School","2017-18",433,43,0.427,0.573,0.293,0.028,0.312,0.921,0.954,18,21,NA,18,NA,NA,NA,"Manhattan"
"51",51,"01M188","P.S. 188 The Island School","2017-18","91.7","Poverty","Poverty","30.4","P.S. 188 The Island School","2017-18",433,43,0.427,0.573,0.293,0.028,0.312,0.921,0.954,18,21,NA,18,NA,NA,NA,"Manhattan"
"52",52,"01M188","P.S. 188 The Island School","2017-18","91.4","Ethnicity","Hispanic","31.8","P.S. 188 The Island School","2017-18",433,43,0.427,0.573,0.293,0.028,0.312,0.921,0.954,18,21,NA,18,NA,NA,NA,"Manhattan"
"53",53,"01M332","University Neighborhood Middle School","2017-18","s","Ethnicity","Hispanic","s","University Neighborhood Middle School","2017-18",203,0,0.433,0.567,0.232,0.039,0.438,0.887,0.848,NA,20.3,NA,11,NA,NA,NA,"Manhattan"
