"","DBN","School Name.x","Year.x","Percent_Attendance","Demographic Category","Demographic Variable","School Name.y","Year.y","Total Enrollment","Grade 3","% Female","% Male","% Black","% White","% Students with Disabilities","% Poverty","Economic Need Index","G&T","Gen Ed","ICT","ICT & G&T","SC 12:1","SC 12:1:1","SC 15:1","SC 6:1:1","SC 8:1:1"
"1","01M015","P.S. 015 Roberto Clemente","2017-18","s","Poverty","Not Poverty","P.S. 015 Roberto Clemente","2017-18",190,23,0.521,0.479,0.274,0.032,0.258,0.847,0.89,10,NA,13,NA,NA,NA,NA,NA,NA
"2","01M015","P.S. 015 Roberto Clemente","2017-18","s","Ethnicity","Black","P.S. 015 Roberto Clemente","2017-18",190,23,0.521,0.479,0.274,0.032,0.258,0.847,0.89,10,NA,13,NA,NA,NA,NA,NA,NA
"3","01M015","P.S. 015 Roberto Clemente","2017-18","93.8","All Students","All Students","P.S. 015 Roberto Clemente","2017-18",190,23,0.521,0.479,0.274,0.032,0.258,0.847,0.89,10,NA,13,NA,NA,NA,NA,NA,NA
"4","01M015","P.S. 015 Roberto Clemente","2017-18","94.7","Gender","Male","P.S. 015 Roberto Clemente","2017-18",190,23,0.521,0.479,0.274,0.032,0.258,0.847,0.89,10,NA,13,NA,NA,NA,NA,NA,NA
"5","01M015","P.S. 015 Roberto Clemente","2017-18","94.5","SWD Status","Not SWD","P.S. 015 Roberto Clemente","2017-18",190,23,0.521,0.479,0.274,0.032,0.258,0.847,0.89,10,NA,13,NA,NA,NA,NA,NA,NA
"6","01M015","P.S. 015 Roberto Clemente","2017-18","s","ELL Status","ELL","P.S. 015 Roberto Clemente","2017-18",190,23,0.521,0.479,0.274,0.032,0.258,0.847,0.89,10,NA,13,NA,NA,NA,NA,NA,NA
"7","01M015","P.S. 015 Roberto Clemente","2017-18","93.0","Gender","Female","P.S. 015 Roberto Clemente","2017-18",190,23,0.521,0.479,0.274,0.032,0.258,0.847,0.89,10,NA,13,NA,NA,NA,NA,NA,NA
"8","01M015","P.S. 015 Roberto Clemente","2017-18","s","ELL Status","Not ELL","P.S. 015 Roberto Clemente","2017-18",190,23,0.521,0.479,0.274,0.032,0.258,0.847,0.89,10,NA,13,NA,NA,NA,NA,NA,NA
"9","01M015","P.S. 015 Roberto Clemente","2017-18","s","Poverty","Poverty","P.S. 015 Roberto Clemente","2017-18",190,23,0.521,0.479,0.274,0.032,0.258,0.847,0.89,10,NA,13,NA,NA,NA,NA,NA,NA
"10","01M015","P.S. 015 Roberto Clemente","2017-18","s","Ethnicity","White","P.S. 015 Roberto Clemente","2017-18",190,23,0.521,0.479,0.274,0.032,0.258,0.847,0.89,10,NA,13,NA,NA,NA,NA,NA,NA
"11","01M015","P.S. 015 Roberto Clemente","2017-18","93.5","Ethnicity","Hispanic","P.S. 015 Roberto Clemente","2017-18",190,23,0.521,0.479,0.274,0.032,0.258,0.847,0.89,10,NA,13,NA,NA,NA,NA,NA,NA
"12","01M015","P.S. 015 Roberto Clemente","2017-18","s","Ethnicity","Other","P.S. 015 Roberto Clemente","2017-18",190,23,0.521,0.479,0.274,0.032,0.258,0.847,0.89,10,NA,13,NA,NA,NA,NA,NA,NA
"13","01M015","P.S. 015 Roberto Clemente","2017-18","s","Ethnicity","Asian","P.S. 015 Roberto Clemente","2017-18",190,23,0.521,0.479,0.274,0.032,0.258,0.847,0.89,10,NA,13,NA,NA,NA,NA,NA,NA
"14","01M015","P.S. 015 Roberto Clemente","2017-18","92.3","SWD Status","SWD","P.S. 015 Roberto Clemente","2017-18",190,23,0.521,0.479,0.274,0.032,0.258,0.847,0.89,10,NA,13,NA,NA,NA,NA,NA,NA
"15","01M019","P.S. 019 Asher Levy","2017-18","s","Ethnicity","White","P.S. 019 Asher Levy","2017-18",257,46,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,NA,14.7,NA,NA,11.5,NA,NA,NA
"16","01M019","P.S. 019 Asher Levy","2017-18","s","ELL Status","Not ELL","P.S. 019 Asher Levy","2017-18",257,46,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,NA,14.7,NA,NA,11.5,NA,NA,NA
"17","01M019","P.S. 019 Asher Levy","2017-18","s","ELL Status","ELL","P.S. 019 Asher Levy","2017-18",257,46,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,NA,14.7,NA,NA,11.5,NA,NA,NA
"18","01M019","P.S. 019 Asher Levy","2017-18","89.5","Poverty","Poverty","P.S. 019 Asher Levy","2017-18",257,46,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,NA,14.7,NA,NA,11.5,NA,NA,NA
"19","01M019","P.S. 019 Asher Levy","2017-18","89.4","Ethnicity","Hispanic","P.S. 019 Asher Levy","2017-18",257,46,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,NA,14.7,NA,NA,11.5,NA,NA,NA
"20","01M019","P.S. 019 Asher Levy","2017-18","90.9","All Students","All Students","P.S. 019 Asher Levy","2017-18",257,46,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,NA,14.7,NA,NA,11.5,NA,NA,NA
"21","01M019","P.S. 019 Asher Levy","2017-18","s","Ethnicity","Other","P.S. 019 Asher Levy","2017-18",257,46,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,NA,14.7,NA,NA,11.5,NA,NA,NA
"22","01M019","P.S. 019 Asher Levy","2017-18","89.9","Gender","Female","P.S. 019 Asher Levy","2017-18",257,46,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,NA,14.7,NA,NA,11.5,NA,NA,NA
"23","01M019","P.S. 019 Asher Levy","2017-18","91.7","Gender","Male","P.S. 019 Asher Levy","2017-18",257,46,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,NA,14.7,NA,NA,11.5,NA,NA,NA
"24","01M019","P.S. 019 Asher Levy","2017-18","95.6","Poverty","Not Poverty","P.S. 019 Asher Levy","2017-18",257,46,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,NA,14.7,NA,NA,11.5,NA,NA,NA
"25","01M019","P.S. 019 Asher Levy","2017-18","s","Ethnicity","Asian","P.S. 019 Asher Levy","2017-18",257,46,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,NA,14.7,NA,NA,11.5,NA,NA,NA
"26","01M019","P.S. 019 Asher Levy","2017-18","91.5","SWD Status","SWD","P.S. 019 Asher Levy","2017-18",257,46,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,NA,14.7,NA,NA,11.5,NA,NA,NA
"27","01M019","P.S. 019 Asher Levy","2017-18","90.6","SWD Status","Not SWD","P.S. 019 Asher Levy","2017-18",257,46,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,NA,14.7,NA,NA,11.5,NA,NA,NA
"28","01M019","P.S. 019 Asher Levy","2017-18","93.4","Ethnicity","Black","P.S. 019 Asher Levy","2017-18",257,46,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,NA,14.7,NA,NA,11.5,NA,NA,NA
"29","01M020","P.S. 020 Anna Silver","2017-18","94.9","Gender","Female","P.S. 020 Anna Silver","2017-18",497,89,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,18,25,NA,NA,12.3,NA,NA,NA
"30","01M020","P.S. 020 Anna Silver","2017-18","94.4","All Students","All Students","P.S. 020 Anna Silver","2017-18",497,89,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,18,25,NA,NA,12.3,NA,NA,NA
"31","01M020","P.S. 020 Anna Silver","2017-18","91.9","SWD Status","SWD","P.S. 020 Anna Silver","2017-18",497,89,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,18,25,NA,NA,12.3,NA,NA,NA
"32","01M020","P.S. 020 Anna Silver","2017-18","93.7","ELL Status","Not ELL","P.S. 020 Anna Silver","2017-18",497,89,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,18,25,NA,NA,12.3,NA,NA,NA
"33","01M020","P.S. 020 Anna Silver","2017-18","89.6","Ethnicity","Black","P.S. 020 Anna Silver","2017-18",497,89,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,18,25,NA,NA,12.3,NA,NA,NA
"34","01M020","P.S. 020 Anna Silver","2017-18","94.0","Gender","Male","P.S. 020 Anna Silver","2017-18",497,89,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,18,25,NA,NA,12.3,NA,NA,NA
"35","01M020","P.S. 020 Anna Silver","2017-18","94.3","Poverty","Poverty","P.S. 020 Anna Silver","2017-18",497,89,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,18,25,NA,NA,12.3,NA,NA,NA
"36","01M020","P.S. 020 Anna Silver","2017-18","95.1","Poverty","Not Poverty","P.S. 020 Anna Silver","2017-18",497,89,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,18,25,NA,NA,12.3,NA,NA,NA
"37","01M020","P.S. 020 Anna Silver","2017-18","97.8","Ethnicity","Asian","P.S. 020 Anna Silver","2017-18",497,89,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,18,25,NA,NA,12.3,NA,NA,NA
"38","01M020","P.S. 020 Anna Silver","2017-18","s","Ethnicity","White","P.S. 020 Anna Silver","2017-18",497,89,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,18,25,NA,NA,12.3,NA,NA,NA
"39","01M020","P.S. 020 Anna Silver","2017-18","96.2","ELL Status","ELL","P.S. 020 Anna Silver","2017-18",497,89,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,18,25,NA,NA,12.3,NA,NA,NA
"40","01M020","P.S. 020 Anna Silver","2017-18","s","Ethnicity","Other","P.S. 020 Anna Silver","2017-18",497,89,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,18,25,NA,NA,12.3,NA,NA,NA
"41","01M020","P.S. 020 Anna Silver","2017-18","92.9","Ethnicity","Hispanic","P.S. 020 Anna Silver","2017-18",497,89,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,18,25,NA,NA,12.3,NA,NA,NA
"42","01M020","P.S. 020 Anna Silver","2017-18","95.2","SWD Status","Not SWD","P.S. 020 Anna Silver","2017-18",497,89,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,18,25,NA,NA,12.3,NA,NA,NA
"43","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","93.0","Ethnicity","Black","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,25,22,NA,NA,NA,NA,NA,NA
"44","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","s","Ethnicity","Asian","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,25,22,NA,NA,NA,NA,NA,NA
"45","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","90.9","ELL Status","Not ELL","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,25,22,NA,NA,NA,NA,NA,NA
"46","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","s","Ethnicity","White","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,25,22,NA,NA,NA,NA,NA,NA
"47","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","88.9","SWD Status","SWD","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,25,22,NA,NA,NA,NA,NA,NA
"48","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","90.4","Ethnicity","Hispanic","P.S. 034 Franklin D. Roosevelt","2017-18",333,47,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,25,22,NA,NA,NA,NA,NA,NA
