"","DBN","School Name.x","Year.x","Percent_Attendance","Demographic Category","Demographic Variable","Percent_Chronically_Absent","School Name.y","Year.y","Total Enrollment","Grade 4","% Female","% Male","% Black","% White","% Students with Disabilities","% Poverty","Economic Need Index","G&T","Gen Ed","ICT","ICT & G&T","SC 12:1","SC 12:1:1","SC 15:1","SC 6:1:1","SC 8:1:1"
"1","01M015","P.S. 015 Roberto Clemente","2017-18","93.6","All Students","All Students","21.9","P.S. 015 Roberto Clemente","2017-18",190,31,0.521,0.479,0.274,0.032,0.258,0.847,0.89,9,NA,22,NA,NA,NA,NA,NA,NA
"2","01M015","P.S. 015 Roberto Clemente","2017-18","93.5","Poverty","Poverty","23.1","P.S. 015 Roberto Clemente","2017-18",190,31,0.521,0.479,0.274,0.032,0.258,0.847,0.89,9,NA,22,NA,NA,NA,NA,NA,NA
"3","01M015","P.S. 015 Roberto Clemente","2017-18","92.6","SWD Status","SWD","25.0","P.S. 015 Roberto Clemente","2017-18",190,31,0.521,0.479,0.274,0.032,0.258,0.847,0.89,9,NA,22,NA,NA,NA,NA,NA,NA
"4","01M015","P.S. 015 Roberto Clemente","2017-18","92.8","Ethnicity","Black","25.0","P.S. 015 Roberto Clemente","2017-18",190,31,0.521,0.479,0.274,0.032,0.258,0.847,0.89,9,NA,22,NA,NA,NA,NA,NA,NA
"5","01M015","P.S. 015 Roberto Clemente","2017-18","s","ELL Status","Not ELL","s","P.S. 015 Roberto Clemente","2017-18",190,31,0.521,0.479,0.274,0.032,0.258,0.847,0.89,9,NA,22,NA,NA,NA,NA,NA,NA
"6","01M015","P.S. 015 Roberto Clemente","2017-18","s","Ethnicity","Other","s","P.S. 015 Roberto Clemente","2017-18",190,31,0.521,0.479,0.274,0.032,0.258,0.847,0.89,9,NA,22,NA,NA,NA,NA,NA,NA
"7","01M015","P.S. 015 Roberto Clemente","2017-18","93.2","Gender","Male","22.2","P.S. 015 Roberto Clemente","2017-18",190,31,0.521,0.479,0.274,0.032,0.258,0.847,0.89,9,NA,22,NA,NA,NA,NA,NA,NA
"8","01M015","P.S. 015 Roberto Clemente","2017-18","93.9","SWD Status","Not SWD","20.8","P.S. 015 Roberto Clemente","2017-18",190,31,0.521,0.479,0.274,0.032,0.258,0.847,0.89,9,NA,22,NA,NA,NA,NA,NA,NA
"9","01M015","P.S. 015 Roberto Clemente","2017-18","94.0","Gender","Female","21.4","P.S. 015 Roberto Clemente","2017-18",190,31,0.521,0.479,0.274,0.032,0.258,0.847,0.89,9,NA,22,NA,NA,NA,NA,NA,NA
"10","01M015","P.S. 015 Roberto Clemente","2017-18","93.7","Poverty","Not Poverty","16.7","P.S. 015 Roberto Clemente","2017-18",190,31,0.521,0.479,0.274,0.032,0.258,0.847,0.89,9,NA,22,NA,NA,NA,NA,NA,NA
"11","01M015","P.S. 015 Roberto Clemente","2017-18","s","Ethnicity","Asian","s","P.S. 015 Roberto Clemente","2017-18",190,31,0.521,0.479,0.274,0.032,0.258,0.847,0.89,9,NA,22,NA,NA,NA,NA,NA,NA
"12","01M015","P.S. 015 Roberto Clemente","2017-18","s","ELL Status","ELL","s","P.S. 015 Roberto Clemente","2017-18",190,31,0.521,0.479,0.274,0.032,0.258,0.847,0.89,9,NA,22,NA,NA,NA,NA,NA,NA
"13","01M015","P.S. 015 Roberto Clemente","2017-18","93.8","Ethnicity","Hispanic","22.7","P.S. 015 Roberto Clemente","2017-18",190,31,0.521,0.479,0.274,0.032,0.258,0.847,0.89,9,NA,22,NA,NA,NA,NA,NA,NA
"14","01M019","P.S. 019 Asher Levy","2017-18","92.3","SWD Status","Not SWD","22.2","P.S. 019 Asher Levy","2017-18",257,42,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,23,14,NA,NA,11.5,NA,NA,NA
"15","01M019","P.S. 019 Asher Levy","2017-18","s","Ethnicity","White","s","P.S. 019 Asher Levy","2017-18",257,42,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,23,14,NA,NA,11.5,NA,NA,NA
"16","01M019","P.S. 019 Asher Levy","2017-18","93.0","Gender","Female","31.3","P.S. 019 Asher Levy","2017-18",257,42,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,23,14,NA,NA,11.5,NA,NA,NA
"17","01M019","P.S. 019 Asher Levy","2017-18","s","Ethnicity","Asian","s","P.S. 019 Asher Levy","2017-18",257,42,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,23,14,NA,NA,11.5,NA,NA,NA
"18","01M019","P.S. 019 Asher Levy","2017-18","92.5","Ethnicity","Black","16.7","P.S. 019 Asher Levy","2017-18",257,42,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,23,14,NA,NA,11.5,NA,NA,NA
"19","01M019","P.S. 019 Asher Levy","2017-18","91.1","Poverty","Poverty","30.3","P.S. 019 Asher Levy","2017-18",257,42,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,23,14,NA,NA,11.5,NA,NA,NA
"20","01M019","P.S. 019 Asher Levy","2017-18","s","Ethnicity","Other","s","P.S. 019 Asher Levy","2017-18",257,42,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,23,14,NA,NA,11.5,NA,NA,NA
"21","01M019","P.S. 019 Asher Levy","2017-18","s","ELL Status","ELL","s","P.S. 019 Asher Levy","2017-18",257,42,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,23,14,NA,NA,11.5,NA,NA,NA
"22","01M019","P.S. 019 Asher Levy","2017-18","90.8","Ethnicity","Hispanic","34.8","P.S. 019 Asher Levy","2017-18",257,42,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,23,14,NA,NA,11.5,NA,NA,NA
"23","01M019","P.S. 019 Asher Levy","2017-18","s","ELL Status","Not ELL","s","P.S. 019 Asher Levy","2017-18",257,42,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,23,14,NA,NA,11.5,NA,NA,NA
"24","01M019","P.S. 019 Asher Levy","2017-18","96.9","Poverty","Not Poverty","0.0","P.S. 019 Asher Levy","2017-18",257,42,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,23,14,NA,NA,11.5,NA,NA,NA
"25","01M019","P.S. 019 Asher Levy","2017-18","92.0","Gender","Male","18.5","P.S. 019 Asher Levy","2017-18",257,42,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,23,14,NA,NA,11.5,NA,NA,NA
"26","01M019","P.S. 019 Asher Levy","2017-18","92.5","SWD Status","SWD","25.0","P.S. 019 Asher Levy","2017-18",257,42,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,23,14,NA,NA,11.5,NA,NA,NA
"27","01M019","P.S. 019 Asher Levy","2017-18","92.4","All Students","All Students","23.3","P.S. 019 Asher Levy","2017-18",257,42,0.444,0.556,0.191,0.062,0.35,0.77,0.679,NA,23,14,NA,NA,11.5,NA,NA,NA
"28","01M020","P.S. 020 Anna Silver","2017-18","94.5","All Students","All Students","24.4","P.S. 020 Anna Silver","2017-18",497,83,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,20,27.5,NA,NA,12.3,NA,NA,NA
"29","01M020","P.S. 020 Anna Silver","2017-18","94.1","ELL Status","Not ELL","26.8","P.S. 020 Anna Silver","2017-18",497,83,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,20,27.5,NA,NA,12.3,NA,NA,NA
"30","01M020","P.S. 020 Anna Silver","2017-18","93.9","Gender","Female","24.4","P.S. 020 Anna Silver","2017-18",497,83,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,20,27.5,NA,NA,12.3,NA,NA,NA
"31","01M020","P.S. 020 Anna Silver","2017-18","91.8","Ethnicity","Hispanic","39.0","P.S. 020 Anna Silver","2017-18",497,83,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,20,27.5,NA,NA,12.3,NA,NA,NA
"32","01M020","P.S. 020 Anna Silver","2017-18","94.3","Poverty","Poverty","27.3","P.S. 020 Anna Silver","2017-18",497,83,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,20,27.5,NA,NA,12.3,NA,NA,NA
"33","01M020","P.S. 020 Anna Silver","2017-18","91.0","SWD Status","SWD","50.0","P.S. 020 Anna Silver","2017-18",497,83,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,20,27.5,NA,NA,12.3,NA,NA,NA
"34","01M020","P.S. 020 Anna Silver","2017-18","s","Ethnicity","Black","s","P.S. 020 Anna Silver","2017-18",497,83,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,20,27.5,NA,NA,12.3,NA,NA,NA
"35","01M020","P.S. 020 Anna Silver","2017-18","96.5","ELL Status","ELL","13.3","P.S. 020 Anna Silver","2017-18",497,83,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,20,27.5,NA,NA,12.3,NA,NA,NA
"36","01M020","P.S. 020 Anna Silver","2017-18","s","Ethnicity","White","s","P.S. 020 Anna Silver","2017-18",497,83,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,20,27.5,NA,NA,12.3,NA,NA,NA
"37","01M020","P.S. 020 Anna Silver","2017-18","95.9","SWD Status","Not SWD","14.5","P.S. 020 Anna Silver","2017-18",497,83,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,20,27.5,NA,NA,12.3,NA,NA,NA
"38","01M020","P.S. 020 Anna Silver","2017-18","95.1","Gender","Male","24.4","P.S. 020 Anna Silver","2017-18",497,83,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,20,27.5,NA,NA,12.3,NA,NA,NA
"39","01M020","P.S. 020 Anna Silver","2017-18","98.9","Ethnicity","Asian","3.4","P.S. 020 Anna Silver","2017-18",497,83,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,20,27.5,NA,NA,12.3,NA,NA,NA
"40","01M020","P.S. 020 Anna Silver","2017-18","95.3","Poverty","Not Poverty","15.0","P.S. 020 Anna Silver","2017-18",497,83,0.491,0.509,0.103,0.032,0.237,0.736,0.8,NA,20,27.5,NA,NA,12.3,NA,NA,NA
"41","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","85.8","Gender","Male","56.5","P.S. 034 Franklin D. Roosevelt","2017-18",333,35,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,16,19,NA,NA,NA,NA,NA,NA
"42","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","s","ELL Status","ELL","s","P.S. 034 Franklin D. Roosevelt","2017-18",333,35,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,16,19,NA,NA,NA,NA,NA,NA
"43","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","96.4","Gender","Female","0.0","P.S. 034 Franklin D. Roosevelt","2017-18",333,35,0.45,0.55,0.318,0.027,0.372,0.979,0.937,NA,16,19,NA,NA,NA,NA,NA,NA
