"","DBN","School Name.x","Year.x","Percent_Attendance","Demographic Category","Demographic Variable","Percent_Chronically_Absent","School Name.y","Year.y","Total Enrollment","Grade 8","% Female","% Male","% Black","% White","% Students with Disabilities","% Poverty","Economic Need Index","Gen Ed","ICT","SC 12:1","SC 12:1:1","SC 15:1","SC 6:1:1","SC 8:1:1"
"1","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","90.5","Ethnicity","Hispanic","40.0","P.S. 034 Franklin D. Roosevelt","2017-18",333,58,0.45,0.55,0.318,0.027,0.372,0.979,0.937,22,18,NA,NA,NA,NA,NA
"2","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","90.2","Gender","Female","41.4","P.S. 034 Franklin D. Roosevelt","2017-18",333,58,0.45,0.55,0.318,0.027,0.372,0.979,0.937,22,18,NA,NA,NA,NA,NA
"3","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","91.2","Poverty","Poverty","34.4","P.S. 034 Franklin D. Roosevelt","2017-18",333,58,0.45,0.55,0.318,0.027,0.372,0.979,0.937,22,18,NA,NA,NA,NA,NA
"4","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","81.2","ELL Status","ELL","75.0","P.S. 034 Franklin D. Roosevelt","2017-18",333,58,0.45,0.55,0.318,0.027,0.372,0.979,0.937,22,18,NA,NA,NA,NA,NA
"5","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","89.7","SWD Status","SWD","35.0","P.S. 034 Franklin D. Roosevelt","2017-18",333,58,0.45,0.55,0.318,0.027,0.372,0.979,0.937,22,18,NA,NA,NA,NA,NA
"6","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","s","Ethnicity","Asian","s","P.S. 034 Franklin D. Roosevelt","2017-18",333,58,0.45,0.55,0.318,0.027,0.372,0.979,0.937,22,18,NA,NA,NA,NA,NA
"7","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","91.9","Ethnicity","Black","27.8","P.S. 034 Franklin D. Roosevelt","2017-18",333,58,0.45,0.55,0.318,0.027,0.372,0.979,0.937,22,18,NA,NA,NA,NA,NA
"8","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","91.9","Gender","Male","28.6","P.S. 034 Franklin D. Roosevelt","2017-18",333,58,0.45,0.55,0.318,0.027,0.372,0.979,0.937,22,18,NA,NA,NA,NA,NA
"9","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","91.2","All Students","All Students","34.4","P.S. 034 Franklin D. Roosevelt","2017-18",333,58,0.45,0.55,0.318,0.027,0.372,0.979,0.937,22,18,NA,NA,NA,NA,NA
"10","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","92.5","ELL Status","Not ELL","28.6","P.S. 034 Franklin D. Roosevelt","2017-18",333,58,0.45,0.55,0.318,0.027,0.372,0.979,0.937,22,18,NA,NA,NA,NA,NA
"11","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","91.9","SWD Status","Not SWD","34.1","P.S. 034 Franklin D. Roosevelt","2017-18",333,58,0.45,0.55,0.318,0.027,0.372,0.979,0.937,22,18,NA,NA,NA,NA,NA
"12","01M034","P.S. 034 Franklin D. Roosevelt","2017-18","s","Ethnicity","White","s","P.S. 034 Franklin D. Roosevelt","2017-18",333,58,0.45,0.55,0.318,0.027,0.372,0.979,0.937,22,18,NA,NA,NA,NA,NA
