"","DBN","Percent_Attendance","Demographic.Variable","X..Poverty","borough","self_contained_option","X..Male","X..Black","X..Female","X..White","Total.Enrollment","Economic.Need.Index","Percent_Chronically_Absent","X..Students.with.Disabilities"
"1","01M034",90.5,"Hispanic",0.979,"Manhattan",0,0.55,0.318,0.45,0.027,333,0.937,"40.0",0.372
"2","01M034",90.2,"Female",0.979,"Manhattan",0,0.55,0.318,0.45,0.027,333,0.937,"41.4",0.372
"3","01M034",91.2,"Poverty",0.979,"Manhattan",0,0.55,0.318,0.45,0.027,333,0.937,"34.4",0.372
"4","01M034",81.2,"ELL",0.979,"Manhattan",0,0.55,0.318,0.45,0.027,333,0.937,"75.0",0.372
"5","01M034",89.7,"SWD",0.979,"Manhattan",0,0.55,0.318,0.45,0.027,333,0.937,"35.0",0.372
"6","01M034",91.9,"Black",0.979,"Manhattan",0,0.55,0.318,0.45,0.027,333,0.937,"27.8",0.372
"7","01M034",91.9,"Male",0.979,"Manhattan",0,0.55,0.318,0.45,0.027,333,0.937,"28.6",0.372
"8","01M034",91.2,"All Students",0.979,"Manhattan",0,0.55,0.318,0.45,0.027,333,0.937,"34.4",0.372
"9","01M034",92.5,"Not ELL",0.979,"Manhattan",0,0.55,0.318,0.45,0.027,333,0.937,"28.6",0.372
"10","01M034",91.9,"Not SWD",0.979,"Manhattan",0,0.55,0.318,0.45,0.027,333,0.937,"34.1",0.372
"11","01M140",90.3,"Poverty",0.884,"Manhattan",1,0.509,0.124,0.491,0.027,371,0.913,"30.4",0.329
"12","01M140",85.2,"SWD",0.884,"Manhattan",1,0.509,0.124,0.491,0.027,371,0.913,"47.6",0.329
"13","01M140",93,"Not SWD",0.884,"Manhattan",1,0.509,0.124,0.491,0.027,371,0.913,"21.7",0.329
"14","01M140",90.6,"All Students",0.884,"Manhattan",1,0.509,0.124,0.491,0.027,371,0.913,"29.9",0.329
"15","01M140",91.7,"Female",0.884,"Manhattan",1,0.509,0.124,0.491,0.027,371,0.913,"26.5",0.329
"16","01M140",80.3,"Black",0.884,"Manhattan",1,0.509,0.124,0.491,0.027,371,0.913,"45.5",0.329
"17","01M140",92.2,"Not Poverty",0.884,"Manhattan",1,0.509,0.124,0.491,0.027,371,0.913,"27.3",0.329
"18","01M140",89.5,"Male",0.884,"Manhattan",1,0.509,0.124,0.491,0.027,371,0.913,"33.3",0.329
"19","01M140",91.9,"Hispanic",0.884,"Manhattan",1,0.509,0.124,0.491,0.027,371,0.913,"30.6",0.329
"20","01M184",95.8,"Hispanic",0.68,"Manhattan",0,0.501,0.037,0.499,0.073,684,0.653,"11.1",0.165
"21","01M184",98.1,"Poverty",0.68,"Manhattan",0,0.501,0.037,0.499,0.073,684,0.653,"3.2",0.165
"22","01M184",99,"Asian",0.68,"Manhattan",0,0.501,0.037,0.499,0.073,684,0.653,"0.0",0.165
"23","01M184",97.3,"White",0.68,"Manhattan",0,0.501,0.037,0.499,0.073,684,0.653,"0.0",0.165
"24","01M184",98.4,"Female",0.68,"Manhattan",0,0.501,0.037,0.499,0.073,684,0.653,"0.0",0.165
"25","01M184",97.8,"ELL",0.68,"Manhattan",0,0.501,0.037,0.499,0.073,684,0.653,"0.0",0.165
"26","01M184",98.3,"All Students",0.68,"Manhattan",0,0.501,0.037,0.499,0.073,684,0.653,"2.2",0.165
"27","01M184",98.7,"Not SWD",0.68,"Manhattan",0,0.501,0.037,0.499,0.073,684,0.653,"0.0",0.165
"28","01M184",98.8,"Not Poverty",0.68,"Manhattan",0,0.501,0.037,0.499,0.073,684,0.653,"0.0",0.165
"29","01M184",98.4,"Not ELL",0.68,"Manhattan",0,0.501,0.037,0.499,0.073,684,0.653,"2.5",0.165
"30","01M184",97,"SWD",0.68,"Manhattan",0,0.501,0.037,0.499,0.073,684,0.653,"10.5",0.165
"31","01M184",98.3,"Male",0.68,"Manhattan",0,0.501,0.037,0.499,0.073,684,0.653,"4.4",0.165
"32","01M188",92.2,"ELL",0.921,"Manhattan",1,0.573,0.293,0.427,0.028,433,0.954,"18.2",0.312
"33","01M188",87.5,"SWD",0.921,"Manhattan",1,0.573,0.293,0.427,0.028,433,0.954,"52.9",0.312
"34","01M188",91.5,"All Students",0.921,"Manhattan",1,0.573,0.293,0.427,0.028,433,0.954,"31.7",0.312
"35","01M188",91.1,"Female",0.921,"Manhattan",1,0.573,0.293,0.427,0.028,433,0.954,"33.3",0.312
"36","01M188",93.1,"Not SWD",0.921,"Manhattan",1,0.573,0.293,0.427,0.028,433,0.954,"23.9",0.312
"37","01M188",91.4,"Not ELL",0.921,"Manhattan",1,0.573,0.293,0.427,0.028,433,0.954,"34.6",0.312
"38","01M188",91.7,"Poverty",0.921,"Manhattan",1,0.573,0.293,0.427,0.028,433,0.954,"30.4",0.312
"39","01M188",90.4,"Not Poverty",0.921,"Manhattan",1,0.573,0.293,0.427,0.028,433,0.954,"42.9",0.312
"40","01M188",91.4,"Hispanic",0.921,"Manhattan",1,0.573,0.293,0.427,0.028,433,0.954,"31.8",0.312
"41","01M188",92.1,"Male",0.921,"Manhattan",1,0.573,0.293,0.427,0.028,433,0.954,"29.6",0.312
"42","01M332",90.9,"Not SWD",0.887,"Manhattan",1,0.567,0.232,0.433,0.039,203,0.848,"34.1",0.438
"43","01M332",90.3,"All Students",0.887,"Manhattan",1,0.567,0.232,0.433,0.039,203,0.848,"34.7",0.438
"44","01M332",88.9,"Female",0.887,"Manhattan",1,0.567,0.232,0.433,0.039,203,0.848,"37.5",0.438
"45","01M332",89.2,"SWD",0.887,"Manhattan",1,0.567,0.232,0.433,0.039,203,0.848,"35.7",0.438
"46","01M332",90.5,"Black",0.887,"Manhattan",1,0.567,0.232,0.433,0.039,203,0.848,"43.5",0.438
"47","01M332",94.1,"Asian",0.887,"Manhattan",1,0.567,0.232,0.433,0.039,203,0.848,"16.7",0.438
"48","01M332",95.5,"Not Poverty",0.887,"Manhattan",1,0.567,0.232,0.433,0.039,203,0.848,"0.0",0.438
"49","01M332",89.7,"Not ELL",0.887,"Manhattan",1,0.567,0.232,0.433,0.039,203,0.848,"39.3",0.438
"50","01M332",89.7,"Poverty",0.887,"Manhattan",1,0.567,0.232,0.433,0.039,203,0.848,"37.9",0.438
"51","01M332",91.3,"Male",0.887,"Manhattan",1,0.567,0.232,0.433,0.039,203,0.848,"32.5",0.438
"52","01M332",93.8,"ELL",0.887,"Manhattan",1,0.567,0.232,0.433,0.039,203,0.848,"9.1",0.438
"53","01M378",88.3,"All Students",0.828,"Manhattan",1,0.566,0.273,0.434,0.016,256,0.853,"38.7",0.391
"54","01M378",89.5,"Female",0.828,"Manhattan",1,0.566,0.273,0.434,0.016,256,0.853,"29.4",0.391
"55","01M378",89.2,"Not Poverty",0.828,"Manhattan",1,0.566,0.273,0.434,0.016,256,0.853,"28.6",0.391
"56","01M378",88.1,"Not SWD",0.828,"Manhattan",1,0.566,0.273,0.434,0.016,256,0.853,"38.8",0.391
"57","01M378",88.6,"SWD",0.828,"Manhattan",1,0.566,0.273,0.434,0.016,256,0.853,"38.5",0.391
"58","01M378",88.1,"Poverty",0.828,"Manhattan",1,0.566,0.273,0.434,0.016,256,0.853,"41.2",0.391
"59","01M378",86.5,"Hispanic",0.828,"Manhattan",1,0.566,0.273,0.434,0.016,256,0.853,"45.5",0.391
"60","01M378",89.6,"Black",0.828,"Manhattan",1,0.566,0.273,0.434,0.016,256,0.853,"37.1",0.391
"61","01M378",87.2,"Male",0.828,"Manhattan",1,0.566,0.273,0.434,0.016,256,0.853,"47.3",0.391
"62","01M378",94.4,"Asian",0.828,"Manhattan",1,0.566,0.273,0.434,0.016,256,0.853,"16.7",0.391
"63","01M450",97,"Female",0.654,"Manhattan",1,0.536,0.165,0.464,0.146,683,0.629,"4.2",0.266
"64","01M450",96.7,"Hispanic",0.654,"Manhattan",1,0.536,0.165,0.464,0.146,683,0.629,"6.7",0.266
"65","01M450",96.7,"Male",0.654,"Manhattan",1,0.536,0.165,0.464,0.146,683,0.629,"4.3",0.266
"66","01M450",97.7,"Asian",0.654,"Manhattan",1,0.536,0.165,0.464,0.146,683,0.629,"0.0",0.266
"67","01M450",96.9,"All Students",0.654,"Manhattan",1,0.536,0.165,0.464,0.146,683,0.629,"4.2",0.266
"68","01M450",97.7,"Black",0.654,"Manhattan",1,0.536,0.165,0.464,0.146,683,0.629,"0.0",0.266
"69","01M450",97.7,"Not SWD",0.654,"Manhattan",1,0.536,0.165,0.464,0.146,683,0.629,"0.0",0.266
"70","01M450",97,"White",0.654,"Manhattan",1,0.536,0.165,0.464,0.146,683,0.629,"0.0",0.266
"71","01M450",96.9,"Not ELL",0.654,"Manhattan",1,0.536,0.165,0.464,0.146,683,0.629,"4.2",0.266
"72","01M450",94.7,"Other",0.654,"Manhattan",1,0.536,0.165,0.464,0.146,683,0.629,"14.3",0.266
"73","01M450",97.3,"Not Poverty",0.654,"Manhattan",1,0.536,0.165,0.464,0.146,683,0.629,"5.9",0.266
"74","01M450",96.6,"Poverty",0.654,"Manhattan",1,0.536,0.165,0.464,0.146,683,0.629,"3.3",0.266
"75","01M450",95.4,"SWD",0.654,"Manhattan",1,0.536,0.165,0.464,0.146,683,0.629,"12.1",0.266
"76","01M539",96.4,"Not ELL",0.239,"Manhattan",0,0.521,0.077,0.479,0.399,1734,0.282,"7.4",0.081
"77","01M539",96,"White",0.239,"Manhattan",0,0.521,0.077,0.479,0.399,1734,0.282,"9.5",0.081
"78","01M539",95.1,"Hispanic",0.239,"Manhattan",0,0.521,0.077,0.479,0.399,1734,0.282,"13.3",0.081
"79","01M539",96.7,"Black",0.239,"Manhattan",0,0.521,0.077,0.479,0.399,1734,0.282,"0.0",0.081
"80","01M539",96.3,"Not Poverty",0.239,"Manhattan",0,0.521,0.077,0.479,0.399,1734,0.282,"8.6",0.081
"81","01M539",97,"Poverty",0.239,"Manhattan",0,0.521,0.077,0.479,0.399,1734,0.282,"0.0",0.081
